Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count,0,1
6099,.NET Framework,3.0,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation,2.0,,
6099,.NET Framework UserControl Test Container,15.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7\IDE,1.0,,
6099,.NET Runtime Crash Dump Generator,8.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Trend Micro\Endpoint Basecamp\modules\vom\modules\UiBridgeModule\VOneAgentConsole,1.0,,
6099,.NET Runtime Optimization Service,2.0,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v2.0.50727,2.0,,
6099,.NET Runtime Optimization Service,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,
6099,64Bit MAPI Mail Agent,1.0,Foxit Software Inc.,Application,,C:\Program Files (x86)\Foxit Software\Foxit Reader,1.0,,
6099,7-Zip 24.08,24.08,Igor Pavlov,Add/Remove Programs,"November 26, 2024 12:00:00 AM",,,,
6099,7-Zip Console,24.08,Igor Pavlov,Application,,C:\Program Files (x86)\7-Zip,1.0,,
6099,7-Zip Console,25.01,Igor Pavlov,Application,,C:\Program Files (x86)\Trend Micro\Security Agent,4.0,,
6099,7-Zip File Manager,24.08,Igor Pavlov,Application,,C:\Program Files (x86)\7-Zip,1.0,,
6099,7-Zip GUI,24.08,Igor Pavlov,Application,,C:\Program Files (x86)\7-Zip,1.0,,
6099,Accounts Control Host,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy,1.0,,
6099,Active Qt DumpCpp,5.15,The Qt Company Ltd.,Application,,C:\Users\support.local01\anaconda3\pkgs\qt-main-5.15.2-he8e5bd7_7\Library\bin,2.0,,
6099,Active Qt DumpDoc,5.15,The Qt Company Ltd.,Application,,C:\Users\support.local01\anaconda3\pkgs\qt-main-5.15.2-he8e5bd7_7\Library\bin,2.0,,
6099,Active Qt Interface Description Compiler,5.15,The Qt Company Ltd.,Application,,C:\Users\support.local01\anaconda3\pkgs\qt-main-5.15.2-he8e5bd7_7\Library\bin,2.0,,
6099,ActiveUpdate module.,2.88,Trend Micro Inc.,Application,,C:\Program Files (x86)\Trend Micro\Security Agent,2.0,,
6099,AddSuggestedFoldersToLibraryDialog,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy,1.0,,
6099,Analysis Services Instance Rename Tool,16.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7\IDE,1.0,,
6099,Antimalware Core Service,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,
6099,AntiMalware Platform Update (amd64fre),4.18,Microsoft Corporation Inc.,Application,,C:\Windows\SystemTemp\7B3D8249-CD11-4718-8D98-F849AE8BE77AMpCommU,1.0,,
6099,Antimalware Service Executable,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,
6099,AppResolverUX,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy,1.0,,
6099,Aruba Networks Service,6.11,Aruba Networks,Application,,C:\Program Files\Aruba Networks\ClearPassOnGuard,1.0,,
6099,AsyncTextService,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe,1.0,,
6099,Atlassian.Bitbucket.UI,2.3,Atlassian.Bitbucket.UI,Application,,C:\Program Files\Git\mingw64\bin,1.0,,
6099,Azure Data Studio,1.44,Microsoft Corporation Inc.,Application,"June 22, 2023 12:00:00 AM",C:\Program Files\Azure Data Studio,1.0,,
6099,AzureDTExec,16.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7\IDE\CommonExtensions\Microsoft\SSIS\160\Binn,1.0,,
6099,AzureDTExecConfig,16.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7\IDE\CommonExtensions\Microsoft\SSIS\160\Binn,1.0,,
6099,Biometric Enrollment Host,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy,1.0,,
6099,BMC Client Management Agent,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Certificate Generator,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Chilli Interpreter,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Direct Access Proxy Agent,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Opswat Proxy Agent,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Package Viewer,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Patch Broker,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Proxy Agent,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
6099,BMC Client Management Remote Control proxy,24.1.01.240624,BMC Software Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin,1.0,,
